Name,Job_Role,Experience_Numeric_Weight,Technical_Skill_Proficiency,P1_Big5_Openness,P1_Big5_Conscientiousness,P1_Big5_Extraversion,P1_Big5_Agreeableness,P1_Big5_Neuroticism,P1_Dark_Machiavellianism,P1_Dark_Narcissism,P1_Dark_Psychopathy,P2_Behavior_Self_Efficacy,P2_Behavior_Self_Monitoring,P2_Behavior_Proactivity,P2_Behavior_Action_Orient,P2_Behavior_Psych_Capital,P3_Attitude_Utilitarian,P3_Attitude_Value_Express,P3_Attitude_Ego_Defensive,P3_Attitude_Knowledge,P4_Emotion_Pos_High_Act,P4_Emotion_Prosocial_Aff,P4_Emotion_Neg_High_Act,P4_Emotion_Neg_Low_Act,P4_Emotion_Threat_Apprehend,P5_Comm_Instrumental,P5_Comm_Expressive,P5_Comm_Controlled,P6_EI_Self_Control,P6_EI_Conflict_Management,P6_EI_Empathy_Resolution,P6_EI_Isolated_Focus,P7_Value_Openness_Change,P7_Value_Conservation,P7_Value_Social_Focus,P7_Value_Personal_Focus,P8_Interdep_Positive,P8_Interdep_Negative,P8_Interdep_No,Cluster_ID,PCA_X,PCA_Y
Stephanie Smith,Software Engineer,0.5,0.83,0.9,0.58,0.01,0.55,0.49,0.5,0.46,0.47,0.86,0.38,0.49,0.66,0.64,0.54,0.5,0.39,0.89,0.54,0.08,0.21,0.43,0.39,0.84,0.35,0.98,0.7,0.4,0.21,0.64,0.78,0.76,0.58,0.63,0.35,0.34,0.99,1,3.633634410126217,-2.0130798571645783
Sheri Smith,Data Scientist,1.0,0.96,0.99,0.71,0.99,0.81,0.31,0.6,0.7,0.51,0.71,0.8,0.99,0.54,0.57,0.34,0.61,0.46,0.93,0.86,0.79,0.19,0.01,0.24,0.76,0.75,0.19,0.59,0.5,0.7,0.45,0.71,0.27,0.49,0.74,0.84,0.25,0.48,0,-1.7811936024524193,3.085768405902075
Janet Henry,Data Scientist,0.0,0.73,0.48,0.57,0.48,0.82,0.26,0.01,0.28,0.16,0.73,0.93,0.68,0.51,0.69,0.49,0.67,0.07,0.96,0.65,0.76,0.01,0.43,0.15,0.45,0.9,0.45,0.76,0.99,0.48,0.18,0.51,0.52,0.84,0.19,0.75,0.08,0.25,3,-4.038935854363919,-1.0338162642767965
Christopher Parker,Data Scientist,1.0,0.93,0.99,0.83,0.85,0.77,0.36,0.32,0.83,0.38,0.69,0.67,0.72,0.59,0.89,0.94,0.44,0.43,0.6,0.78,0.46,0.27,0.26,0.13,0.74,0.74,0.46,0.46,0.61,0.71,0.48,0.7,0.36,0.76,0.5,0.78,0.3,0.49,0,-1.1358559301037459,2.184974857547792
Michael Cook,Data Scientist,1.0,0.92,0.64,0.24,0.63,0.8,0.02,0.32,0.13,0.19,0.99,0.51,0.53,0.54,0.71,0.51,0.92,0.37,0.49,0.99,0.58,0.1,0.33,0.31,0.52,0.99,0.58,0.77,0.76,0.94,0.25,0.6,0.63,0.99,0.02,0.9,0.16,0.44,3,-4.47158197279098,-0.22422180687339405
Jamie Ramos,Data Scientist,1.0,0.96,0.54,0.55,0.57,0.5,0.35,0.7,0.65,0.27,0.97,0.37,0.89,0.92,0.53,0.82,0.7,0.29,0.79,0.99,0.58,0.44,0.18,0.12,0.82,0.62,0.51,0.53,0.77,0.65,0.56,0.77,0.31,0.5,0.68,0.76,0.51,0.26,0,-0.31432802371508745,2.60122366867319
Amy Sutton,Data Scientist,1.0,0.91,0.99,0.85,0.61,0.59,0.19,0.37,0.63,0.43,0.72,0.35,0.88,0.99,0.72,0.66,0.92,0.44,0.73,0.92,0.59,0.23,0.05,0.53,0.73,0.77,0.49,0.72,0.99,0.68,0.31,0.83,0.51,0.56,0.88,0.35,0.37,0.49,0,-1.0384146334101512,1.3088204264713774
James Shaffer,Data Scientist,0.0,0.81,0.55,0.9,0.66,0.62,0.21,0.16,0.01,0.14,0.62,0.85,0.83,0.77,0.76,0.23,0.99,0.26,0.6,0.7,0.88,0.23,0.21,0.22,0.45,0.67,0.49,0.77,0.81,0.99,0.01,0.81,0.74,0.54,0.3,0.79,0.01,0.18,3,-4.673206921397919,-0.9946099980327233
Deborah Patel,Data Scientist,0.0,0.76,0.7,0.84,0.37,0.38,0.39,0.35,0.24,0.14,0.76,0.38,0.58,0.54,0.55,0.67,0.57,0.26,0.89,0.54,0.7,0.2,0.35,0.26,0.55,0.56,0.56,0.53,0.65,0.19,0.96,0.49,0.79,0.02,0.49,0.32,0.45,0.85,1,2.4089884641928023,-2.076465808191339
James Diaz,Financial Analyst,0.5,0.84,0.8,0.69,0.9,0.29,0.15,0.56,0.63,0.27,0.85,0.75,0.77,0.68,0.78,0.5,0.71,0.09,0.85,0.92,0.59,0.55,0.5,0.4,0.42,0.56,0.41,0.6,0.78,0.49,0.43,0.74,0.26,0.44,0.61,0.5,0.25,0.56,0,-0.9459702167252328,1.9391520564141183
Mark Johnson MD,Data Scientist,1.0,0.91,0.99,0.8,0.31,0.53,0.49,0.12,0.35,0.15,0.5,0.55,0.45,0.74,0.63,0.65,0.75,0.39,0.62,0.44,0.52,0.43,0.29,0.54,0.54,0.47,0.55,0.62,0.61,0.47,0.97,0.79,0.79,0.51,0.68,0.49,0.07,0.84,1,1.4279928527205275,-1.969491313080156
Barbara Castro,Data Scientist,1.0,0.92,0.61,0.53,0.64,0.11,0.44,0.96,0.74,0.75,0.65,0.65,0.74,0.42,0.41,0.73,0.28,0.75,0.53,0.38,0.44,0.62,0.47,0.48,0.97,0.48,0.55,0.13,0.39,0.43,0.61,0.71,0.37,0.46,0.99,0.25,0.73,0.72,2,5.515017683685243,4.493851646527858
Elizabeth Mathis,Data Scientist,0.5,0.93,0.62,0.97,0.25,0.38,0.25,0.19,0.06,0.07,0.59,0.5,0.48,0.58,0.95,0.6,0.63,0.64,0.61,0.51,0.37,0.26,0.53,0.31,0.73,0.27,0.69,0.47,0.57,0.61,0.9,0.64,0.49,0.24,0.99,0.54,0.17,0.87,1,2.105920467363707,-2.501631676533694
Jason Ford,Data Scientist,1.0,0.91,0.76,0.64,0.89,0.6,0.45,0.75,0.57,0.18,0.64,0.59,0.85,0.99,0.67,0.68,0.65,0.53,0.99,0.77,0.48,0.56,0.35,0.53,0.79,0.7,0.59,0.77,0.82,0.68,0.56,0.99,0.56,0.75,0.72,0.72,0.58,0.28,0,-0.28360791799393636,2.1907944883250394
John Kline,Data Scientist,0.0,0.76,0.66,0.71,0.67,0.85,0.37,0.01,0.3,0.16,0.76,0.55,0.77,0.63,0.84,0.34,0.83,0.26,0.78,0.48,0.88,0.31,0.27,0.24,0.4,0.78,0.33,0.89,0.78,0.87,0.36,0.57,0.53,0.54,0.46,0.99,0.01,0.24,3,-3.8047630263366785,-0.8773633199438037
Victoria Christian,Data Scientist,0.5,0.86,0.33,0.17,0.67,0.22,0.45,0.91,0.79,0.57,0.46,0.78,0.7,0.49,0.68,0.64,0.12,0.7,0.49,0.49,0.21,0.8,0.31,0.77,0.74,0.62,0.45,0.42,0.44,0.37,0.7,0.75,0.48,0.36,0.84,0.52,0.7,0.77,2,4.314693206835874,4.792606288832677
Logan Hawkins,Data Scientist,0.5,0.86,0.49,0.65,0.46,0.93,0.15,0.35,0.26,0.15,0.62,0.65,0.92,0.53,0.95,0.24,0.81,0.32,0.6,0.61,0.81,0.19,0.66,0.3,0.53,0.99,0.47,0.76,0.81,0.84,0.27,0.54,0.58,0.69,0.5,0.94,0.13,0.23,3,-3.9313691874203562,-0.3221343008422084
Cynthia Jones,Data Scientist,1.0,0.94,0.81,0.79,0.71,0.75,0.35,0.26,0.43,0.25,0.81,0.67,0.75,0.63,0.99,0.3,0.99,0.28,0.5,0.63,0.8,0.31,0.38,0.21,0.45,0.99,0.86,0.82,0.86,0.87,0.39,0.5,0.51,0.6,0.41,0.95,0.13,0.54,3,-3.7468326956615576,-0.5169938856211517
Bradley Harris,Data Scientist,1.0,0.94,0.37,0.95,0.68,0.99,0.01,0.11,0.42,0.18,0.73,0.56,0.76,0.72,0.86,0.3,0.8,0.21,0.35,0.69,0.83,0.41,0.01,0.34,0.28,0.8,0.66,0.74,0.97,0.66,0.47,0.54,0.32,0.81,0.04,0.89,0.16,0.49,3,-4.695875089770675,-0.43853877082536685
Terri Armstrong,Data Scientist,0.0,0.74,0.83,0.78,0.65,0.8,0.2,0.51,0.36,0.21,0.8,0.79,0.51,0.57,0.79,0.39,0.86,0.26,0.71,0.69,0.86,0.01,0.44,0.35,0.6,0.32,0.91,0.73,0.99,0.69,0.39,0.49,0.46,0.99,0.32,0.88,0.33,0.37,3,-2.9439200081669856,-1.3159953001105478
Jason Moore,HR Executive,0.0,0.77,0.55,0.8,0.74,0.35,0.53,0.81,0.78,0.72,0.49,0.75,0.44,0.74,0.28,0.84,0.5,0.76,0.55,0.67,0.33,0.8,0.25,0.41,0.91,0.54,0.51,0.45,0.54,0.26,0.62,0.4,0.26,0.01,0.72,0.53,0.57,0.45,2,4.432219688817725,3.9455168146972777
Adam Graham,Data Scientist,0.5,0.85,0.99,0.99,0.2,0.84,0.55,0.3,0.01,0.59,0.54,0.15,0.65,0.99,0.81,0.78,0.54,0.53,0.96,0.54,0.47,0.34,0.34,0.36,0.55,0.29,0.6,0.48,0.48,0.66,0.99,0.46,0.45,0.49,0.6,0.37,0.38,0.7,1,2.5801123410671254,-2.019471557016706
Curtis Walsh,Data Scientist,0.5,0.89,0.88,0.68,0.72,0.71,0.46,0.19,0.21,0.16,0.72,0.77,0.73,0.66,0.76,0.46,0.82,0.06,0.77,0.65,0.81,0.36,0.41,0.19,0.57,0.67,0.87,0.63,0.89,0.73,0.63,0.46,0.63,0.74,0.3,0.92,0.38,0.54,3,-2.5854765483761644,-1.1787618640088458
Madison Phillips,Financial Analyst,0.0,0.97,0.67,0.64,0.29,0.89,0.28,0.6,0.6,0.17,0.84,0.64,0.44,0.67,0.51,0.55,0.35,0.22,0.86,0.38,0.49,0.12,0.5,0.53,0.5,0.36,0.93,0.47,0.7,0.51,0.74,0.69,0.68,0.36,0.83,0.26,0.33,0.64,1,2.1638508759822352,-1.6712750164633088
Dana Adkins,Data Scientist,0.5,0.85,0.84,0.6,0.9,0.67,0.17,0.01,0.31,0.27,0.66,0.93,0.44,0.63,0.72,0.45,0.83,0.34,0.44,0.57,0.74,0.21,0.31,0.41,0.32,0.51,0.92,0.58,0.98,0.85,0.34,0.65,0.49,0.92,0.28,0.99,0.29,0.39,3,-3.765749773241217,-0.37370138254497365
Jeffrey Smith,Data Scientist,0.5,0.81,0.57,0.54,0.78,0.72,0.25,0.2,0.46,0.22,0.65,0.87,0.76,0.68,0.8,0.2,0.59,0.2,0.51,0.67,0.86,0.33,0.29,0.37,0.46,0.45,0.46,0.73,0.67,0.94,0.53,0.83,0.52,0.99,0.37,0.8,0.11,0.25,3,-3.6633537866751626,0.4061030121030147
Christopher Valencia,Data Scientist,0.5,0.81,0.75,0.74,0.07,0.64,0.47,0.69,0.19,0.22,0.73,0.55,0.42,0.52,0.78,0.65,0.58,0.51,0.85,0.47,0.39,0.35,0.58,0.28,0.82,0.13,0.6,0.65,0.16,0.76,0.67,0.69,0.78,0.22,0.4,0.33,0.17,0.51,1,2.6003532127560938,-2.113218468033961
Kerri Smith,Data Scientist,1.0,0.89,0.75,0.86,0.76,0.82,0.45,0.38,0.92,0.21,0.96,0.74,0.99,0.99,0.75,0.54,0.72,0.25,0.99,0.87,0.5,0.43,0.05,0.1,0.88,0.65,0.34,0.68,0.88,0.71,0.55,0.74,0.14,0.88,0.7,0.66,0.6,0.48,0,-1.6980386993075698,2.642354258583105
Lisa Barnett,Data Scientist,0.5,0.98,0.66,0.86,0.52,0.77,0.51,0.44,0.22,0.3,0.83,0.37,0.41,0.51,0.34,0.41,0.54,0.42,0.78,0.45,0.48,0.33,0.25,0.54,0.85,0.34,0.88,0.53,0.63,0.43,0.98,0.81,0.44,0.43,0.8,0.4,0.29,0.84,1,2.763420394991587,-1.703951856006716
Kristy Sims,Data Scientist,0.0,0.82,0.77,0.79,0.99,0.55,0.4,0.71,0.64,0.69,0.93,0.44,0.96,0.86,0.94,0.75,0.63,0.17,0.67,0.72,0.46,0.49,0.5,0.31,0.52,0.82,0.68,0.51,0.68,0.6,0.28,0.95,0.33,0.71,0.62,0.63,0.51,0.34,0,-0.5132878873405657,3.1870247757231347
Victor Jones DDS,Data Scientist,0.0,0.8,0.43,0.19,0.69,0.35,0.35,0.99,0.99,0.54,0.82,0.56,0.63,0.37,0.73,0.76,0.37,0.7,0.78,0.73,0.49,0.89,0.41,0.67,0.75,0.65,0.57,0.25,0.49,0.4,0.18,0.67,0.39,0.12,0.72,0.28,0.87,0.3,2,3.814936119985371,5.4815131288431145
Jonathan Williams,Data Scientist,1.0,0.9,0.7,0.98,0.99,0.64,0.32,0.31,0.54,0.46,0.99,0.93,0.78,0.63,0.77,0.38,0.7,0.33,0.63,0.61,0.63,0.32,0.07,0.01,0.7,0.99,0.75,0.53,0.61,0.67,0.25,0.9,0.46,0.83,0.73,0.67,0.27,0.28,0,-2.619622698537148,1.894555570083052
Catherine Miller,Data Scientist,0.0,0.81,0.42,0.36,0.55,0.54,0.52,0.8,0.77,0.48,0.39,0.5,0.64,0.51,0.51,0.81,0.33,0.71,0.63,0.31,0.08,0.84,0.3,0.91,0.76,0.5,0.28,0.3,0.29,0.22,0.69,0.48,0.6,0.65,0.81,0.32,0.86,0.77,2,5.453071946392626,3.9559634270904325
Bryan Miller,Data Scientist,1.0,0.94,0.44,0.21,0.77,0.99,0.01,0.05,0.39,0.46,0.65,0.64,0.52,0.81,0.7,0.28,0.68,0.11,0.62,0.94,0.9,0.21,0.26,0.07,0.58,0.74,0.57,0.99,0.89,0.74,0.24,0.82,0.57,0.63,0.49,0.75,0.48,0.46,3,-4.243125265166342,0.11818295626695043
George French,Data Scientist,1.0,0.96,0.96,0.67,0.67,0.57,0.5,0.55,0.73,0.24,0.81,0.77,0.77,0.72,0.79,0.76,0.62,0.18,0.59,0.88,0.58,0.44,0.33,0.25,0.74,0.74,0.67,0.81,0.52,0.56,0.4,0.81,0.62,0.68,0.63,0.79,0.44,0.45,0,-0.9682714496208261,1.6465955982029867
Shane Nelson,Data Scientist,0.5,0.83,0.6,0.99,0.5,0.48,0.08,0.26,0.54,0.25,0.6,0.32,0.63,0.78,0.56,0.64,0.39,0.26,0.99,0.45,0.63,0.58,0.6,0.34,0.86,0.3,0.61,0.7,0.27,0.63,0.78,0.73,0.64,0.31,0.84,0.33,0.43,0.65,1,2.92024739209344,-1.7189134818968395
David May,Data Scientist,0.0,0.76,0.46,0.87,0.45,0.3,0.51,0.45,0.17,0.38,0.79,0.5,0.36,0.72,0.34,0.36,0.47,0.57,0.89,0.49,0.42,0.21,0.42,0.46,0.73,0.41,0.78,0.7,0.58,0.37,0.95,0.64,0.65,0.25,0.61,0.41,0.02,0.81,1,3.066839070088489,-2.4123603674433194
Richard Shields,Data Scientist,0.0,0.71,0.59,0.69,0.44,0.76,0.38,0.32,0.36,0.42,0.61,0.44,0.65,0.78,0.63,0.85,0.04,0.5,0.75,0.23,0.53,0.56,0.43,0.54,0.99,0.5,0.99,0.76,0.46,0.21,0.81,0.57,0.93,0.32,0.77,0.48,0.31,0.99,1,4.016901981307544,-2.0458314515158995
Hannah Wagner,Data Scientist,0.5,0.83,0.73,0.82,0.23,0.17,0.37,0.04,0.42,0.06,0.62,0.3,0.47,0.7,0.76,0.61,0.52,0.81,0.91,0.47,0.33,0.32,0.32,0.44,0.82,0.01,0.75,0.81,0.39,0.35,0.64,0.42,0.72,0.32,0.87,0.63,0.44,0.77,1,3.4029847000437177,-2.6019650754200003
Amy Benjamin,Data Scientist,1.0,0.9,0.48,0.52,0.84,0.43,0.56,0.67,0.43,0.54,0.62,0.5,0.58,0.51,0.37,0.7,0.38,0.87,0.34,0.66,0.24,0.75,0.61,0.58,0.89,0.49,0.31,0.4,0.18,0.32,0.6,0.52,0.43,0.01,0.77,0.31,0.82,0.35,2,4.92448269414774,4.019480667480575
Juan Hall,Data Scientist,1.0,0.94,0.73,0.84,0.77,0.98,0.53,0.09,0.16,0.01,0.61,0.97,0.63,0.67,0.53,0.3,0.47,0.43,0.84,0.82,0.7,0.47,0.26,0.12,0.31,0.69,0.61,0.73,0.64,0.99,0.28,0.54,0.72,0.67,0.11,0.99,0.48,0.23,3,-3.556446253321228,-0.4408143514226629
Caroline Williams,Data Scientist,0.5,0.83,0.53,0.65,0.78,0.85,0.18,0.18,0.29,0.09,0.61,0.99,0.63,0.56,0.9,0.35,0.93,0.31,0.58,0.77,0.61,0.08,0.12,0.32,0.71,0.99,0.7,0.83,0.58,0.77,0.18,0.56,0.52,0.78,0.05,0.96,0.04,0.34,3,-4.851509711320634,-0.4895236623921305
Christine Stanley,Data Scientist,0.0,0.71,0.72,0.99,0.34,0.63,0.69,0.52,0.28,0.06,0.75,0.31,0.27,0.74,0.64,0.97,0.4,0.44,0.75,0.63,0.43,0.17,0.45,0.46,0.84,0.46,0.53,0.52,0.55,0.34,0.89,0.34,0.99,0.31,0.93,0.35,0.36,0.99,1,4.018690194719722,-2.432246975958589
Anna Jackson,Data Scientist,0.0,0.74,0.52,0.48,0.57,0.47,0.69,0.36,0.85,0.68,0.65,0.59,0.77,0.64,0.28,0.86,0.2,0.59,0.41,0.58,0.39,0.83,0.61,0.63,0.65,0.51,0.52,0.46,0.53,0.41,0.65,0.71,0.45,0.12,0.83,0.19,0.7,0.48,2,4.880194277843168,3.69134886543742
Sheryl Roberts,Data Scientist,0.0,0.73,0.62,0.63,0.7,0.94,0.18,0.17,0.52,0.15,0.62,0.76,0.53,0.49,0.65,0.29,0.88,0.16,0.58,0.81,0.81,0.35,0.07,0.28,0.46,0.75,0.35,0.93,0.72,0.9,0.3,0.8,0.88,0.66,0.25,0.88,0.03,0.42,3,-4.428953783812581,-0.5337965966265197
Alisha Kirk,Data Scientist,1.0,0.96,0.92,0.78,0.99,0.96,0.41,0.37,0.6,0.03,0.75,0.64,0.77,0.82,0.63,0.82,0.65,0.35,0.65,0.87,0.67,0.27,0.15,0.2,0.5,0.63,0.43,0.73,0.74,0.63,0.53,0.83,0.41,0.63,0.79,0.61,0.03,0.38,0,-2.1409572833364985,0.9594667003259472
Albert Ortiz,Data Scientist,1.0,0.93,0.83,0.73,0.33,0.51,0.24,0.51,0.38,0.21,0.68,0.42,0.56,0.68,0.18,0.7,0.23,0.37,0.64,0.29,0.64,0.3,0.39,0.47,0.74,0.62,0.71,0.7,0.6,0.69,0.74,0.64,0.79,0.47,0.91,0.19,0.53,0.74,1,2.9472427863474255,-1.147455231156216
Sheila Alexander,Data Scientist,1.0,0.92,0.55,0.74,0.62,0.83,0.26,0.05,0.41,0.07,0.62,0.6,0.17,0.57,0.99,0.52,0.75,0.21,0.6,0.78,0.67,0.42,0.41,0.41,0.52,0.75,0.7,0.84,0.8,0.76,0.32,0.88,0.36,0.63,0.37,0.86,0.23,0.34,3,-3.182748690958656,-1.0219946990880677
Richard Smith,Data Scientist,0.5,0.88,0.51,0.56,0.79,0.52,0.24,0.33,0.85,0.28,0.75,0.69,0.93,0.81,0.72,0.55,0.55,0.26,0.75,0.7,0.61,0.61,0.3,0.19,0.51,0.99,0.32,0.73,0.8,0.56,0.36,0.57,0.4,0.74,0.59,0.68,0.41,0.49,0,-1.868509886037301,2.8413134609605404
Travis Shelton,Data Scientist,0.5,0.81,0.9,0.65,0.67,0.8,0.22,0.41,0.01,0.38,0.44,0.71,0.49,0.69,0.56,0.47,0.99,0.05,0.63,0.6,0.91,0.25,0.2,0.37,0.72,0.72,0.71,0.56,0.71,0.92,0.52,0.7,0.5,0.85,0.16,0.94,0.33,0.23,3,-3.28842113828474,-0.5740827305749433
Julie Brown,Data Scientist,0.5,0.89,0.83,0.57,0.85,0.48,0.23,0.5,0.49,0.07,0.65,0.46,0.89,0.82,0.77,0.74,0.83,0.26,0.76,0.61,0.76,0.21,0.14,0.16,0.47,0.75,0.53,0.57,0.47,0.9,0.48,0.99,0.23,0.79,0.87,0.66,0.61,0.34,0,-1.8727174847330454,1.8930735029615087
Jason Velez,Marketing Manager,0.5,0.81,0.53,0.85,0.11,0.55,0.53,0.29,0.01,0.28,0.82,0.46,0.69,0.54,0.7,0.88,0.18,0.45,0.77,0.49,0.5,0.28,0.35,0.41,0.64,0.14,0.85,0.48,0.55,0.52,0.59,0.6,0.78,0.2,0.68,0.47,0.42,0.81,1,3.1215288812938704,-2.3016754503741366
James Williams,Data Scientist,0.5,0.86,0.99,0.44,0.76,0.58,0.62,0.51,0.67,0.21,0.94,0.72,0.61,0.92,0.9,0.77,0.65,0.21,0.35,0.87,0.71,0.55,0.37,0.24,0.86,0.89,0.44,0.7,0.62,0.68,0.21,0.67,0.51,0.79,0.85,0.71,0.04,0.39,0,-1.6448585978016785,2.37815453726225
Brandon Pollard,Data Scientist,0.0,0.72,0.7,0.78,0.66,0.84,0.02,0.15,0.43,0.24,0.73,0.76,0.55,0.5,0.9,0.46,0.82,0.17,0.28,0.86,0.78,0.12,0.4,0.24,0.61,0.84,0.7,0.55,0.99,0.89,0.24,0.67,0.28,0.91,0.2,0.65,0.01,0.47,3,-4.4155532856143065,-0.23986616994806528
Jason Waters,Data Scientist,0.5,0.82,0.75,0.68,0.74,0.69,0.62,0.35,0.54,0.28,0.93,0.68,0.99,0.97,0.57,0.73,0.88,0.28,0.66,0.77,0.47,0.15,0.05,0.26,0.93,0.66,0.4,0.86,0.53,0.35,0.28,0.75,0.09,0.63,0.89,0.51,0.41,0.46,0,-0.6266776026267042,2.240965987702578
Deborah Aguilar,Data Scientist,0.0,0.72,0.52,0.61,0.95,0.99,0.06,0.32,0.42,0.01,0.77,0.98,0.38,0.46,0.95,0.44,0.83,0.3,0.66,0.5,0.99,0.43,0.27,0.29,0.22,0.83,0.69,0.74,0.99,0.8,0.38,0.5,0.55,0.82,0.38,0.79,0.18,0.42,3,-4.586467737822872,-0.3173913046645486
Jessica Johnson,Data Scientist,0.0,0.78,0.85,0.58,0.7,0.84,0.49,0.39,0.42,0.01,0.7,0.84,0.45,0.47,0.99,0.35,0.99,0.4,0.66,0.77,0.64,0.28,0.51,0.4,0.47,0.99,0.57,0.66,0.87,0.96,0.04,0.69,0.67,0.81,0.52,0.95,0.52,0.19,3,-3.830888011881003,0.9401560868854907
Wesley Chavez,Data Scientist,0.5,0.84,0.51,0.91,0.99,0.74,0.17,0.33,0.24,0.14,0.65,0.46,0.55,0.5,0.73,0.62,0.56,0.37,0.56,0.66,0.97,0.3,0.39,0.45,0.4,0.66,0.44,0.63,0.99,0.99,0.1,0.45,0.62,0.93,0.43,0.81,0.18,0.35,3,-3.3394540572019347,-0.1795269809730336
